"subject_id","birthdate","deathdate","forename","gender","nameAddition","personalName","label","prefix","surname","work"
"http://d-nb.info/gnd/119047438","1936-01-01","1989-01-01","Abbie","notKnown","","","Hoffman, Abbie","","Hoffman",""
"http://d-nb.info/gnd/119071606","1779-11-14","1850-01-20","Adam Gottlob","male","","","Oehlenschläger, Adam Gottlob","","Oehlenschläger",""
"http://d-nb.info/gnd/1028840020","1937-01-01","1995-08-23","Adam","notKnown","","","Wiśniewski-Snerg, Adam","","Wiśniewski-Snerg",""
"http://d-nb.info/gnd/118744895","1929-05-16","2012-03-27","Adrienne","female","","","Rich, Adrienne","","Rich",""
"http://d-nb.info/gnd/118577409","1785-03-07","1873-05-22","Alessandro","male","","","Manzoni, Alessandro","","Manzoni",""
"http://d-nb.info/gnd/118658654","1913-01-01","1987-01-01","Alfred","notKnown","","","Bester, Alfred","","Bester",""
"http://d-nb.info/gnd/118884433","1944-02-09","","Alice","female","","","Walker, Alice","","Walker",""
"http://d-nb.info/gnd/119363925","1952-01-01","","Amy","female","","","Tan, Amy","","Tan",""
"http://d-nb.info/gnd/118578448","1621-01-01","1678-01-01","Andrew","notKnown","","","Marvell, Andrew","","Marvell",""
"http://d-nb.info/gnd/122951786","1928-01-01","2012-01-01","Andrew","notKnown","","","Sarris, Andrew","","Sarris",""
"http://d-nb.info/gnd/118515187","1896-02-18","1966-09-28","André","male","","","Breton, André","","Breton",""
"http://d-nb.info/gnd/118576844","1901-01-01","1976-01-01","André","male","","","Malraux, André","","Malraux",""
"http://d-nb.info/gnd/118598732","1907-01-01","1998-01-01","Dominique","notKnown","","","Aury, Dominique","","Aury",""
"http://d-nb.info/gnd/118638092","1917-02-25","1993-11-25","Anthony","male","","","Burgess, Anthony","","Burgess",""
"http://d-nb.info/gnd/118781057","1863-03-03","1947-12-15","Arthur","male","","","Machen, Arthur","","Machen",""
"http://d-nb.info/gnd/118573217","1907-11-14","2002-01-28","Astrid","female","","","Lindgren, Astrid","","Lindgren",""
"http://d-nb.info/gnd/118619314","1849-01-22","1912-05-14","August","male","","","Strindberg, August","","Strindberg",""
"http://d-nb.info/gnd/118512145","1931-01-01","2009-01-01","Augusto","notKnown","","","Boal, Augusto","","Boal",""
"http://d-nb.info/gnd/118558323","1572-06-11","1637-08-06","Ben","male","","","Jonson, Ben","","Jonson",""
"http://d-nb.info/gnd/118794353","1878-01-06","1967-07-22","Carl","male","","","Sandburg, Carl","","Sandburg",""
"http://d-nb.info/gnd/130457671","1924-11-21","","Christopher","notKnown","","","Tolkien, Christopher","","Tolkien",""
"http://d-nb.info/gnd/119420139","1340-01-01","1370-01-01","","notKnown","Ap Gwilym","Dafydd","Dafydd, Ap Gwilym","","",""
"http://d-nb.info/gnd/107522535","1922-09-19","2002-04-15","Damon","male","","","Knight, Damon","","Knight",""
"http://d-nb.info/gnd/129035998","1931-07-07","2009-06-02","David","male","","","Eddings, David","","Eddings",""
"http://d-nb.info/gnd/122865251","1962-02-21","2008-09-12","David Foster","male","","","Wallace, David Foster","","Wallace",""
"http://d-nb.info/gnd/118776355","1895-11-01","1974-10-28","David Michael","male","","","Jones, David Michael","","Jones",""
"http://d-nb.info/gnd/124918034","1952-01-01","","David","notKnown","","","Zindell, David","","Zindell",""
"http://d-nb.info/gnd/123453658","1934-08-16","2011-03-26","Diana Wynne","notKnown","","","Jones, Diana Wynne","","Jones",""
"http://d-nb.info/gnd/124788297","1904-01-01","1977-01-01","Edmond","notKnown","","","Hamilton, Edmond","","Hamilton",""
"http://d-nb.info/gnd/118512102","1896-01-01","1974-01-01","Edmund","notKnown","","","Blunden, Edmund","","Blunden",""
"http://d-nb.info/gnd/118683284","1885-08-15","1968-04-16","Edna","female","","","Ferber, Edna","","Ferber",""
"http://d-nb.info/gnd/118501380","1928-03-12","2016-09-16","Edward","male","","","Albee, Edward","","Albee",""
"http://d-nb.info/gnd/118622161","1878-01-01","1917-01-01","Edward","male","","","Thomas, Edward","","Thomas",""
