"birthdate","deathdate","gender","label","work","subject_id"
"1936-11-30","1989-04-12","male","Abbie Hoffman","Hoffman, Abbie.	 Steal this book	 Revolution for the hell of it","http://viaf.org/viaf/79408884"
"1779-11-14","1850-01-20","male","Adam Gottlob Oehlenschläger","Vaulundurs saga	 Correggio	 Nordens guder	 Hakon jarl	 Aladdin	 Sanct Hansaften-spil","http://viaf.org/viaf/27105324"
"1937-01-01","1995-08-30","male","Adam Wiśniewski-Snerg","Robot	 Wiśniewski-Snerg, Adam	 Nagi cel","http://viaf.org/viaf/85523915"
"1929-05-16","2012-03-27","female","Adrienne Rich","Rich, Adrienne Cecile (1929-2012).	 Rich, Adrienne	 Adrienne Rich with Diane Wood Middlebrook	 Rich	 Poems.	 Rich, Adrienne,","http://viaf.org/viaf/16565"
"1785-03-07","1873-05-22","male","Alessandro Manzoni","Storia della colonna infame	 Manzoni, Alessandro (1785-1873).	 Manzoni, Alessandro,	 Adelchi	 Cinque maggio	 Osservazioni sulla morale cattolica	 Les fiancés	 Manzoni, Alessandro","http://viaf.org/viaf/14356"
"1913-12-18","1987-09-30","male","Alfred Bester","Demolished man	 Deceivers	 Golem 100	 Star light, star bright	 Computer connection	 Light fantastic	 Life and death of a satellite	 Tiger! tiger!	 Dark side of the earth	 Stars my destination","http://viaf.org/viaf/56605956"
"1621-03-31","1678-08-16","male","Andrew Marvell","Upon Appleton House	 Marvell, Andrew,	 Prose works	 Poems.	 Works	 Character of popery	 Rehearsal transpros'd.	 Marvell, Andrew (1621-1678).	 Poems","http://viaf.org/viaf/39381003"
"1928-10-31","2012-06-20","male","Andrew Sarris","","http://viaf.org/viaf/79132061"
"1896-02-18","1966-09-28","male","André Breton","Anthologie de l'humour noir	 Les vases communicants	 Nadja	 Breton, André	 Point du jour	 L'amour fou	 Pas perdus	 Breton, André (1896-1966).	 Arcane 17","http://viaf.org/viaf/49222341"
"1901-11-03","1976-11-23","male","André Malraux","Tête d'obsidienne	 Les conquérants	 Malraux, André,	 Voix du silence	 Espoir	 Lazare	 La condition humaine	 Malraux, André	 Les noyers de l'Altenburg	 Malraux, André.","http://viaf.org/viaf/51692748"
"1907-09-23","1998-04-27","female","Pauline Réage","Fille amoureuse.	 Histoire d' O	 Histoire d'O	 Réage, Pauline","http://viaf.org/viaf/103211211"
"1863-03-03","1947-12-15","male","Arthur MacHen","Machen, Arthur,	 Terror	 Three imposters	 Short stories.	 Bowmen	 Great god pan	 Hill of dreams	 Shining pyramid","http://viaf.org/viaf/2473758"
"1907-11-14","2002-01-28","female","Astrid Lindgren","Bara roligt i Bullerbyn	 Lindgren	 Mio, min Mio	 Kajsa Kavat och andra barn	 Lindgren, Astrid	 Krigsdagböcker 1939-1945	 Lindgren, Astrid,	 Pippi Långstrump	 Nils Karlsson-Pyssling (Sagor)","http://viaf.org/viaf/97119817"
